Seed,Method,Run,Result
23,Policy Iteration,1,139.52
23,Policy Iteration,2,139.26
23,Policy Iteration,3,167.45
23,Policy Iteration,4,140.31
23,Policy Iteration,5,139.78
78,Policy Iteration,1,113.61
78,Policy Iteration,2,113.58
78,Policy Iteration,3,113.38
78,Policy Iteration,4,113.62
78,Policy Iteration,5,113.59
124,Policy Iteration,1,116.85
124,Policy Iteration,2,117.12
124,Policy Iteration,3,120.2
124,Policy Iteration,4,117.56
124,Policy Iteration,5,117.85
144,Policy Iteration,1,116.68
144,Policy Iteration,2,126.06
144,Policy Iteration,3,116.93
144,Policy Iteration,4,117.86
144,Policy Iteration,5,119.12
148,Policy Iteration,1,156.26
148,Policy Iteration,2,126.12
148,Policy Iteration,3,126.05
148,Policy Iteration,4,132.12
148,Policy Iteration,5,130.12
23,Value Iteration,1,0.3
23,Value Iteration,2,0.31
23,Value Iteration,3,0.3
23,Value Iteration,4,0.32
23,Value Iteration,5,0.31
78,Value Iteration,1,0.26
78,Value Iteration,2,0.27
78,Value Iteration,3,0.26
78,Value Iteration,4,0.28
78,Value Iteration,5,0.26
124,Value Iteration,1,0.3
124,Value Iteration,2,0.31
124,Value Iteration,3,0.3
124,Value Iteration,4,0.29000000000000004
124,Value Iteration,5,0.32
144,Value Iteration,1,0.27
144,Value Iteration,2,0.28
144,Value Iteration,3,0.3
144,Value Iteration,4,0.29000000000000004
144,Value Iteration,5,0.27
148,Value Iteration,1,0.29000000000000004
148,Value Iteration,2,0.31
148,Value Iteration,3,0.3
148,Value Iteration,4,0.32
148,Value Iteration,5,0.33999999999999997
