Seed,Method,Run,Result
23,Q Learning,1,0.38999999999999996
23,Q Learning,2,0.37999999999999995
23,Q Learning,3,0.39999999999999997
23,Q Learning,4,0.41
23,Q Learning,5,0.36000000000000004
78,Q Learning,1,0.42
78,Q Learning,2,0.43
78,Q Learning,3,0.39999999999999997
78,Q Learning,4,0.41
78,Q Learning,5,0.44
124,Q Learning,1,0.24
124,Q Learning,2,0.25
124,Q Learning,3,0.26999999999999996
124,Q Learning,4,0.24
124,Q Learning,5,0.25
144,Q Learning,1,0.16999999999999998
144,Q Learning,2,0.15999999999999998
144,Q Learning,3,0.14999999999999997
144,Q Learning,4,0.14
144,Q Learning,5,0.12
148,Q Learning,1,0.24
148,Q Learning,2,0.26
148,Q Learning,3,0.25
148,Q Learning,4,0.26999999999999996
148,Q Learning,5,0.29
